Quantify Compound Summary Report 

Printed Mon Nov 30 16:28:57 2020

Compound 1:  tryptophan

	#	Name	Sample Text	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Conc.	%Dev
23	23	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_23	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_4	Blank		0.75	1395.063	109.231	127.717	bd	71450.4	
24	24	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_24	CABIN_TRYPTOPHAN_P3_151020_52_5CAB2.47	Analyte		0.75	16230.737	1095663.000	0.148	bd	78.4	
25	25	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_25	CABIN_TRYPTOPHAN_P3_151020_52_3CAB2.33	Analyte		0.75	20639.475	934831.313	0.221	bd	119.1	
26	26	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_26	CABIN_TRYPTOPHAN_P3_151020_14_3CAB0.52	Analyte		0.75	43919.340	1203529.250	0.365	bd	199.7	
27	27	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_27	CABIN_TRYPTOPHAN_P3_151020_14_5CAB0.67	Analyte		0.75	51203.332	1191142.625	0.430	dd	236.1	
28	28	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_28	CABIN_TRYPTOPHAN_P3_151020_14_1CAB0.49	Analyte		0.75	31458.207	1196077.750	0.263	dd	142.7	
29	29	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_29	CABIN_TRYPTOPHAN_P3_151020_QC_5	QC	8.000	0.76	2888.482	1288032.250	0.022	bd	8.1	1.3
30	30	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_30	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_5	Blank		0.75	1673.054	362.281	46.181	bd	25832.9	
31	31	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_31	CABIN_TRYPTOPHAN_P3_151020_14_3CAB0.57	Analyte		0.76	61988.906	1346875.250	0.460	bd	253.1	
32	32	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_32	CABIN_TRYPTOPHAN_P3_151020_3_1CAB0.07	Analyte		0.75	17556.563	1374392.875	0.128	bd	67.0	
33	33	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_33	CABIN_TRYPTOPHAN_P3_151020_3_2CAB0.08	Analyte		0.75	29260.221	1263754.000	0.232	bd	125.1	
34	34	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_34	CABIN_TRYPTOPHAN_P3_151020_3_5CAB0.34	Analyte		0.75	30448.174	1194464.625	0.255	bd	138.2	
35	35	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_35	CABIN_TRYPTOPHAN_P3_151020_3_4CAB0.19	Analyte		0.76	39415.703	1165666.625	0.338	bd	184.7	
36	36	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_36	CABIN_TRYPTOPHAN_P3_151020_36_1CAB1.33	Analyte		0.75	16488.588	1214543.875	0.136	bd	71.5	
37	37	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_37	CABIN_TRYPTOPHAN_P3_151020_36_3CAB1.35	Analyte		0.75	22699.865	1153857.000	0.197	dd	105.6	
38	38	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_38	CABIN_TRYPTOPHAN_P3_151020_18_3CAB0.68	Analyte		0.75	29977.980	1070838.750	0.280	bd	152.2	
39	39	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_39	CABIN_TRYPTOPHAN_P3_151020_18_1CAB0.64	Analyte		0.75	28228.461	1379766.375	0.205	bd	110.0	
40	40	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_40	CABIN_TRYPTOPHAN_P3_151020_QC_2	QC	160.000	0.76	34986.871	1313598.375	0.266	bd	144.6	-9.6
41	41	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_41	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_6	Blank		0.75	1489.805			bb		
42	42	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_42	CABIN_TRYPTOPHAN_P3_151020_18_4CAB0.71	Analyte		0.75	51070.145	1492839.250	0.342	dd	187.0	
43	43	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_43	CABIN_TRYPTOPHAN_P3_151020_25_3CAB0.95	Analyte		0.75	16419.135	1479663.375	0.111	bd	57.6	
44	44	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_44	CABIN_TRYPTOPHAN_P3_151020_25_1CAB0.93	Analyte		0.76	30148.834	1217374.500	0.248	dd	134.1	
45	45	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_45	CABIN_TRYPTOPHAN_P3_151020_25_4CAB0.97	Analyte		0.76	35354.734	1285560.375	0.275	dd	149.4	
46	46	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_46	CABIN_TRYPTOPHAN_P3_151020_25_5CAB1.03	Analyte		0.75	34491.258	1261853.250	0.273	dd	148.5	
47	47	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_47	CABIN_TRYPTOPHAN_P3_151020_5_2CAB0.11	Analyte		0.75	27345.617	1304516.500	0.210	dd	112.8	
48	48	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_48	CABIN_TRYPTOPHAN_P3_151020_5_1CAB0.10	Analyte		0.75	21751.623	1290632.750	0.169	MM	89.8	
49	49	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_49	CABIN_TRYPTOPHAN_P3_151020_QC_6	QC	4.000	0.76	2295.606	1501382.000	0.015	bd	4.1	2.8
50	50	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_50	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_7	Blank		0.77	2183.685	746.979	29.234	bd	16351.1	
51	51	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_51	CABIN_TRYPTOPHAN_P3_151020_5_5CAB0.29	Analyte		0.76	31851.238	1527065.250	0.209	dd	112.3	
52	52	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_52	CABIN_TRYPTOPHAN_P3_151020_5_3CAB0.15	Analyte		0.76	31424.732	1416676.625	0.222	dd	119.7	
53	53	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_53	CABIN_TRYPTOPHAN_P3_151020_5_4CAB0.21	Analyte		0.75	27130.441	1430205.875	0.190	MM	101.7	
54	54	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_54	CABIN_TRYPTOPHAN_P3_151020_11_3CAB0.50	Analyte		0.75	29108.998	1242663.875	0.234	dd	126.6	
55	55	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_55	CABIN_TRYPTOPHAN_P3_151020_11_5CAB0.70	Analyte		0.75	24418.789	1124684.250	0.217	dd	117.0	
56	56	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_56	CABIN_TRYPTOPHAN_P3_151020_11_1CAB0.43	Analyte		0.75	26924.604	1230202.375	0.219	dd	118.0	
57	57	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_57	CABIN_TRYPTOPHAN_P3_151020_QC_4	QC	20.000	0.76	5778.729	1454836.000	0.040	bd	17.8	-11.1
58	58	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_58	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_8	Blank		0.77	2598.640	961.644	27.023	bb	15114.3	
59	59	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_59	CABIN_TRYPTOPHAN_P3_151020_11_4CAB0.53	Analyte		0.75	853362.438	134086.266	63.643	db	35602.3	
60	60	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_60	CABIN_TRYPTOPHAN_P3_151020_44_2CAB1.80	Analyte		0.75	24180.588	1158686.250	0.209	dd	112.3	
61	61	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_61	CABIN_TRYPTOPHAN_P3_151020_44_5CAB2.10	Analyte		0.76	33149.848	1644746.250	0.202	dd	108.3	
62	62	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_62	CABIN_TRYPTOPHAN_P3_151020_44_1CAB1.75	Analyte		0.76	28108.482	1438363.125	0.195	dd	104.9	
63	63	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_63	CABIN_TRYPTOPHAN_P3_151020_39_5CAB1.81	Analyte		0.77	58000.750	1489754.750	0.389	MM	213.4	
64	64	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_64	CABIN_TRYPTOPHAN_P3_151020_QC_1	QC	200.000	0.76	46192.676	1403013.000	0.329	bd	179.8	-10.1
65	65	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_65	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_9	Blank		0.76	1827.141	486.917	37.525	bb	20989.8	
66	66	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_66	CABIN_TRYPTOPHAN_P3_151020_39_3CAB1.51	Analyte		0.75	34668.527	1331454.500	0.260	dd	141.2	
67	67	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_67	CABIN_TRYPTOPHAN_P3_151020_39_1CAB1.43	Analyte		0.75	38950.027	1290362.250	0.302	dd	164.4	
68	68	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_68	CABIN_TRYPTOPHAN_P3_151020_56_1CAB2.45	Analyte		0.75	20451.031	1306816.625	0.156	dd	83.1	
69	69	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_69	CABIN_TRYPTOPHAN_P3_151020_4_1CAB0.09	Analyte		0.75	8002.984	1276121.750	0.063	MM	30.6	
70	70	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_70	CABIN_TRYPTOPHAN_P3_151020_4_2CAB0.13	Analyte		0.76	7910.868	1439429.625	0.055	dd	26.3	
71	71	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_71	CABIN_TRYPTOPHAN_P3_151020_4_3CAB0.14	Analyte		0.75	14976.094	1119786.250	0.134	dd	70.4	
72	72	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_72	CABIN_TRYPTOPHAN_P3_151020_19_1CAB0.69	Analyte		0.75	40599.926	1448314.000	0.280	MM	152.4	
73	73	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_73	CABIN_TRYPTOPHAN_P3_151020_QC_3	QC	80.000	0.76	18296.057	1352013.125	0.135	dd	71.3	-10.9
74	74	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_74	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_10	Blank		0.77	2323.029			bb		
75	75	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_75	CABIN_TRYPTOPHAN_P3_151020_PlasmaLTR_2	Analyte		0.75	28738.330	1150073.250	0.250	MM	135.4	
76	76	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_76	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_12	Blank		0.76	2704.626			bb		
77	77	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_77	CABIN_TRYPTOPHAN_P3_151020_Cal8_2	Standard	2.000	0.76	1911.703	1704156.500	0.011	dd	1.8	-8.4
78	78	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_78	CABIN_TRYPTOPHAN_P3_151020_Cal7_2	Standard	4.000	0.76	2737.676	1802136.250	0.015	MM	4.1	1.4
79	79	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_79	CABIN_TRYPTOPHAN_P3_151020_Cal6_2	Standard	8.000	0.76	3631.176	1524748.500	0.024	MM	8.9	11.0
80	80	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_80	CABIN_TRYPTOPHAN_P3_151020_Cal5_2	Standard	20.000	0.76	5379.917	1425097.625	0.038	MMX	16.7	-16.6
81	81	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_81	CABIN_TRYPTOPHAN_P3_151020_Cal4_2	Standard	30.000	0.76	9146.858	1402971.500	0.065	bb	32.0	6.8
82	82	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_82	CABIN_TRYPTOPHAN_P3_151020_Cal3_2	Standard	50.000	0.76	10507.931	1160323.500	0.091	bd	46.2	-7.6
83	83	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_83	CABIN_TRYPTOPHAN_P3_151020_Cal2_2	Standard	100.000	0.76	26414.898	1519518.500	0.174	dd	92.8	-7.2
84	84	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_84	CABIN_TRYPTOPHAN_P3_151020_Cal1_2	Standard	200.000	0.75	60245.828	1575922.500	0.382	bb	209.4	4.7
85	85	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_85		Blank								

Compound 7:  nicotinic acid

	#	Name	Sample Text	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	Conc.	%Dev
1	1	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_1	CABIN_TRYPTOPHAN_P3_151020_SingleBlank_1	Blank		0.79	547.555	74678.813	0.073	ddI		
2	2	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_2	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_2	Blank		0.78	4439.327	2.910	15255.419	bb	145474.7	
3	3	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_3	CABIN_TRYPTOPHAN_P3_151020_Cal8_1	Standard	0.400	0.79	2187.305	77579.172	0.282	bd	0.4	-4.7
4	4	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_4	CABIN_TRYPTOPHAN_P3_151020_Cal7_1	Standard	0.800	0.78	2584.254	80602.977	0.321	MM	0.7	-6.3
5	5	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_5	CABIN_TRYPTOPHAN_P3_151020_Cal6_1	Standard	1.600	0.78	2786.488	64705.496	0.431	MM	1.8	12.4
6	6	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_6	CABIN_TRYPTOPHAN_P3_151020_Cal5_1	Standard	4.000	0.79	5235.735	61071.695	0.857	ddX	5.9	46.7
7	7	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_7	CABIN_TRYPTOPHAN_P3_151020_Cal4_1	Standard	6.000	0.78	4719.006	59104.367	0.798	db	5.3	-11.6
8	8	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_8	CABIN_TRYPTOPHAN_P3_151020_Cal3_1	Standard	10.000	0.78	9952.552	74503.242	1.336	bb	10.4	4.3
9	9	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_9	CABIN_TRYPTOPHAN_P3_151020_Cal2_1	Standard	20.000	0.78	16555.391	68651.859	2.411	bb	20.7	3.4
10	10	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_10	CABIN_TRYPTOPHAN_P3_151020_Cal1_1	Standard	40.000	0.78	40507.523	85927.133	4.714	bb	42.6	6.6
11	11	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_11	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_3	Blank		0.79	4534.756	8.163	5555.257	bd	52973.1	
12	12	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_12	CABIN_TRYPTOPHAN_P3_151020_8_4CAB0.33	Analyte		0.78	1221.530	89111.813	0.137	dbI		
13	13	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_13	CABIN_TRYPTOPHAN_P3_151020_8_5CAB0.37	Analyte		0.78	329.377	73645.766	0.045	dbI		
14	14	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_14	CABIN_TRYPTOPHAN_P3_151020_8_3CAB0.28	Analyte		0.78	899.167	94024.875	0.096	ddI		
15	15	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_15	CABIN_TRYPTOPHAN_P3_151020_31_2CAB1.12	Analyte		0.78	6407.824	94433.898	0.679	dd	4.2	
16	16	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_16	CABIN_TRYPTOPHAN_P3_151020_16_1CAB0.60	Analyte		0.78	1023.540	69795.297	0.147	ddI		
17	17	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_17	CABIN_TRYPTOPHAN_P3_151020_16_5CAB0.79	Analyte		0.72	11166.012	86859.234	1.286	bb	10.0	
18	18	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_18	CABIN_TRYPTOPHAN_P3_151020_16_3CAB0.61	Analyte		0.78	1215.291	86278.508	0.141	dbI		
19	19	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_19	CABIN_TRYPTOPHAN_P3_151020_16_4CAB0.65	Analyte		0.77	1494.734	86327.914	0.173	dbI		
20	20	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_20	CABIN_TRYPTOPHAN_P3_151020_52_4CAB2.35	Analyte		0.73	13370.085	94345.938	1.417	bb	11.2	
21	21	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_21	CABIN_TRYPTOPHAN_P3_151020_52_1CAB2.26	Analyte		0.78	405.885	87023.570	0.047	bbI		
22	22	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_22	CABIN_TRYPTOPHAN_P3_151020_PlasmaLTR_1	Analyte		0.71	9233.235	73914.695	1.249	bb	9.6	
23	23	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_23	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_4	Blank		0.78	4430.362	3.845	11522.398	dd	109876.2	
24	24	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_24	CABIN_TRYPTOPHAN_P3_151020_52_5CAB2.47	Analyte		0.79	668.664	77991.477	0.086	dbI		
25	25	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_25	CABIN_TRYPTOPHAN_P3_151020_52_3CAB2.33	Analyte		0.78	551.721	75232.695	0.073	ddI		
26	26	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_26	CABIN_TRYPTOPHAN_P3_151020_14_3CAB0.52	Analyte		0.72	10979.753	92116.258	1.192	bb	9.1	
27	27	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_27	CABIN_TRYPTOPHAN_P3_151020_14_5CAB0.67	Analyte		0.71	16065.849	83697.953	1.920	bb	16.0	
28	28	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_28	CABIN_TRYPTOPHAN_P3_151020_14_1CAB0.49	Analyte		0.78	1001.261	87322.383	0.115	dbI		
29	29	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_29	CABIN_TRYPTOPHAN_P3_151020_QC_5	QC	1.600	0.79	4564.976	73699.391	0.619	dd	3.6	124.9
30	30	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_30	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_5	Blank		0.78	4887.602			bd		
31	31	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_31	CABIN_TRYPTOPHAN_P3_151020_14_3CAB0.57	Analyte		0.78	798.035	90952.070	0.088	dbI		
32	32	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_32	CABIN_TRYPTOPHAN_P3_151020_3_1CAB0.07	Analyte		0.78	915.922	96853.398	0.095	ddI		
33	33	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_33	CABIN_TRYPTOPHAN_P3_151020_3_2CAB0.08	Analyte		0.78	1551.966	101497.578	0.153	dbI		
34	34	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_34	CABIN_TRYPTOPHAN_P3_151020_3_5CAB0.34	Analyte		0.72	10091.662	95024.031	1.062	bb	7.8	
35	35	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_35	CABIN_TRYPTOPHAN_P3_151020_3_4CAB0.19	Analyte		0.78	953.156	89649.219	0.106	dbI		
36	36	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_36	CABIN_TRYPTOPHAN_P3_151020_36_1CAB1.33	Analyte		0.78	731.064	89857.742	0.081	dbI		
37	37	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_37	CABIN_TRYPTOPHAN_P3_151020_36_3CAB1.35	Analyte		0.71	20970.770	88658.328	2.365	bb	20.2	
38	38	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_38	CABIN_TRYPTOPHAN_P3_151020_18_3CAB0.68	Analyte		0.71	13228.592	83899.859	1.577	bb	12.7	
39	39	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_39	CABIN_TRYPTOPHAN_P3_151020_18_1CAB0.64	Analyte		0.71	13970.209	101838.063	1.372	bb	10.8	
40	40	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_40	CABIN_TRYPTOPHAN_P3_151020_QC_2	QC	32.000	0.79	36543.762	100177.148	3.648	db	32.5	1.5
41	41	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_41	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_6	Blank		0.79	5736.479	13.287	4317.362	dd	41168.4	
42	42	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_42	CABIN_TRYPTOPHAN_P3_151020_18_4CAB0.71	Analyte		0.79	637.960	105885.883	0.060	dbI		
43	43	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_43	CABIN_TRYPTOPHAN_P3_151020_25_3CAB0.95	Analyte		0.79	748.318	120497.711	0.062	dbI		
44	44	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_44	CABIN_TRYPTOPHAN_P3_151020_25_1CAB0.93	Analyte		0.79	1552.629	85145.789	0.182	ddI		
45	45	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_45	CABIN_TRYPTOPHAN_P3_151020_25_4CAB0.97	Analyte		0.74	34748.734	96403.281	3.605	bd	32.1	
46	46	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_46	CABIN_TRYPTOPHAN_P3_151020_25_5CAB1.03	Analyte		0.73	16918.008	100113.156	1.690	bb	13.8	
47	47	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_47	CABIN_TRYPTOPHAN_P3_151020_5_2CAB0.11	Analyte		0.79	754.598	100258.719	0.075	dbI		
48	48	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_48	CABIN_TRYPTOPHAN_P3_151020_5_1CAB0.10	Analyte		0.79	351.621	111180.797	0.032	bbI		
49	49	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_49	CABIN_TRYPTOPHAN_P3_151020_QC_6	QC	0.800	0.79	1740.795	84474.828	0.206	bbI		
50	50	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_50	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_7	Blank		0.79	5708.735	13.727	4158.764	dd	39656.0	
51	51	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_51	CABIN_TRYPTOPHAN_P3_151020_5_5CAB0.29	Analyte		0.78	249.761	107927.727	0.023	bbI		
52	52	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_52	CABIN_TRYPTOPHAN_P3_151020_5_3CAB0.15	Analyte		0.78	809.423	108809.266	0.074	dbI		
53	53	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_53	CABIN_TRYPTOPHAN_P3_151020_5_4CAB0.21	Analyte		0.78	481.048	115854.391	0.042	dbI		
54	54	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_54	CABIN_TRYPTOPHAN_P3_151020_11_3CAB0.50	Analyte		0.79	905.318	107831.953	0.084	dbI		
55	55	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_55	CABIN_TRYPTOPHAN_P3_151020_11_5CAB0.70	Analyte		0.79	767.126	94296.758	0.081	dbI		
56	56	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_56	CABIN_TRYPTOPHAN_P3_151020_11_1CAB0.43	Analyte		0.79	993.145	103558.070	0.096	dbI		
57	57	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_57	CABIN_TRYPTOPHAN_P3_151020_QC_4	QC	4.000	0.78	4931.014	90036.414	0.548	db	2.9	-27.1
58	58	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_58	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_8	Blank		0.79	5947.748			bb		
59	59	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_59	CABIN_TRYPTOPHAN_P3_151020_11_4CAB0.53	Analyte		0.73	165909.938	25506.254	65.047	bb	618.0	
60	60	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_60	CABIN_TRYPTOPHAN_P3_151020_44_2CAB1.80	Analyte		0.72	9727.406	99042.766	0.982	bb	7.1	
61	61	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_61	CABIN_TRYPTOPHAN_P3_151020_44_5CAB2.10	Analyte		0.79	489.340	116978.492	0.042	dbI		
62	62	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_62	CABIN_TRYPTOPHAN_P3_151020_44_1CAB1.75	Analyte		0.73	13503.006	105302.352	1.282	bb	9.9	
63	63	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_63	CABIN_TRYPTOPHAN_P3_151020_39_5CAB1.81	Analyte		0.78	2699.804	103745.664	0.260	dd	0.2	
64	64	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_64	CABIN_TRYPTOPHAN_P3_151020_QC_1	QC	40.000	0.79	40948.352	92883.539	4.409	db	39.7	-0.7
65	65	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_65	CABIN_TRYPTOPHAN_P3_151020_DoubleBlank_9	Blank		0.79	5184.519			db		
66	66	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_66	CABIN_TRYPTOPHAN_P3_151020_39_3CAB1.51	Analyte		0.79	663.263	105780.422	0.063	ddI		
67	67	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_67	CABIN_TRYPTOPHAN_P3_151020_39_1CAB1.43	Analyte		0.72	11266.277	99753.883	1.129	bb	8.5	
68	68	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_68	CABIN_TRYPTOPHAN_P3_151020_56_1CAB2.45	Analyte		0.78	963.797	103650.445	0.093	bbI		
69	69	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_69	CABIN_TRYPTOPHAN_P3_151020_4_1CAB0.09	Analyte		0.79	278.064	110084.695	0.025	bbI		
70	70	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_70	CABIN_TRYPTOPHAN_P3_151020_4_2CAB0.13	Analyte		0.73	7477.287	102058.102	0.733	bb	4.7	
71	71	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_71	CABIN_TRYPTOPHAN_P3_151020_4_3CAB0.14	Analyte		0.79	352.341	90960.008	0.039	bbI		
72	72	_MS_TRYPTOPHAN_PAT01_PLASMA_MRproject_P3_72	CABIN_TRYPTOPHAN_P3_151020_19_1CAB0.69	Analyte		0.72	8574.146	112109.633	0.765	bb	5.0	
